Date;Symbol;Indexvalue
30.12.1999;V2TX;31.1018
03.01.2000;V2TX;30.9845
04.01.2000;V2TX;33.2225
05.01.2000;V2TX;32.5944
06.01.2000;V2TX;31.1811
07.01.2000;V2TX;27.4407
10.01.2000;V2TX;27.3711
11.01.2000;V2TX;27.9619
12.01.2000;V2TX;28.6067
13.01.2000;V2TX;28.0491
14.01.2000;V2TX;25.4786
17.01.2000;V2TX;25.9901
18.01.2000;V2TX;27.7794
19.01.2000;V2TX;28.1277
20.01.2000;V2TX;27.7616
21.01.2000;V2TX;28.1958
24.01.2000;V2TX;28.6632
25.01.2000;V2TX;30.0186
26.01.2000;V2TX;29.4326
27.01.2000;V2TX;28.0638
28.01.2000;V2TX;29.0238
31.01.2000;V2TX;31.9687
01.02.2000;V2TX;30.1224
02.02.2000;V2TX;29.5014
03.02.2000;V2TX;28.9268
04.02.2000;V2TX;28.6263
07.02.2000;V2TX;29.9433
08.02.2000;V2TX;28.5691
09.02.2000;V2TX;29.5142
10.02.2000;V2TX;30.1312
11.02.2000;V2TX;29.1778
14.02.2000;V2TX;32.9205
15.02.2000;V2TX;33.9884
16.02.2000;V2TX;32.5563
17.02.2000;V2TX;30.9239
18.02.2000;V2TX;30.3079
21.02.2000;V2TX;30.9721
22.02.2000;V2TX;30.7722
23.02.2000;V2TX;29.5958
24.02.2000;V2TX;29.5094
25.02.2000;V2TX;27.092
28.02.2000;V2TX;29.0865
29.02.2000;V2TX;28.7829
01.03.2000;V2TX;27.6825
02.03.2000;V2TX;24.7261
03.03.2000;V2TX;27.5193
06.03.2000;V2TX;27.7329
07.03.2000;V2TX;28.4641
08.03.2000;V2TX;29.5076
09.03.2000;V2TX;29.2994
10.03.2000;V2TX;28.231
13.03.2000;V2TX;31.1377
14.03.2000;V2TX;30.9028
15.03.2000;V2TX;31.5052
16.03.2000;V2TX;31.4462
17.03.2000;V2TX;31.0922
20.03.2000;V2TX;29.5358
21.03.2000;V2TX;29.1204
22.03.2000;V2TX;28.9261
23.03.2000;V2TX;28.5267
24.03.2000;V2TX;27.0158
27.03.2000;V2TX;27.0584
28.03.2000;V2TX;26.431
29.03.2000;V2TX;25.4628
30.03.2000;V2TX;27.7869
31.03.2000;V2TX;27.237
03.04.2000;V2TX;28.179
04.04.2000;V2TX;27.8205
05.04.2000;V2TX;32.0695
06.04.2000;V2TX;28.7791
07.04.2000;V2TX;26.626
10.04.2000;V2TX;26.9387
11.04.2000;V2TX;28.1435
12.04.2000;V2TX;27.6432
13.04.2000;V2TX;27.8573
14.04.2000;V2TX;28.407
17.04.2000;V2TX;30.7758
18.04.2000;V2TX;30.2799
19.04.2000;V2TX;28.2189
20.04.2000;V2TX;27.2314
25.04.2000;V2TX;28.3096
26.04.2000;V2TX;28.2941
27.04.2000;V2TX;29.9862
28.04.2000;V2TX;28.133
02.05.2000;V2TX;28.7111
03.05.2000;V2TX;29.8878
04.05.2000;V2TX;29.5658
05.05.2000;V2TX;28.1957
08.05.2000;V2TX;28.7495
09.05.2000;V2TX;29.2943
10.05.2000;V2TX;30.0209
11.05.2000;V2TX;27.7294
12.05.2000;V2TX;27.0581
15.05.2000;V2TX;28.1816
16.05.2000;V2TX;26.8223
17.05.2000;V2TX;27.2548
18.05.2000;V2TX;26.2945
19.05.2000;V2TX;28.5293
22.05.2000;V2TX;29.7029
23.05.2000;V2TX;28.7434
24.05.2000;V2TX;28.8636
25.05.2000;V2TX;27.3632
26.05.2000;V2TX;26.7763
29.05.2000;V2TX;26.2538
30.05.2000;V2TX;25.6275
31.05.2000;V2TX;25.2594
01.06.2000;V2TX;24.1361
02.06.2000;V2TX;22.758
05.06.2000;V2TX;23.4487
06.06.2000;V2TX;24.1594
07.06.2000;V2TX;24.3745
08.06.2000;V2TX;24.1118
09.06.2000;V2TX;24.3139
